league_id,franchise_name
10070,TAGS BENEFIT (DEREK)
10290,Andrew Hall
11561,Marcas Grant
11952,Ben Gretch
12813,Rich Hribar 2
13001,Shane Manila with trading
13331,Alfredo Brown
13706,trashsandwiches
13966,Tom Everett Scott
14554,Andrew Hall
14608,Moe Deportes
14608,Clock Dodgers
15150,Andy Holloway
15455,Kelly Singh 2
15799,Pat Thorman
16066,Nick Whalen
16214,Ryan McDowell 5
17129,Danny Kelly
17598,Mike Wright 2
18285,DLF Podcast Team
18442,Allan
18442,Bob
18442,Linda
18578,Jen Piacenti 2
19026,Pat kerrane
19078,Ryan Hallam
19816,Dan Turner
20031,WOFF
20311,Dave Kluge 1
20572,Mase
20776,Addison Hayes
21050,Russ
21050,John
21050,Travis
21934,Lindsay Rhodes
22519,Rotobahn
22740,Davis Mattek
23047,cooterdoodle 5
23360,Dynasty Degens
23430,Mike Leone
23650,JJ Zachariason 3
24123,Rich Dotson
24188,Chuck Bass
24700,Kevin O'Brien
25092,DynastyDadFF
25528,Heath Cummings
26345,Ryan McDowell 3
26528,WOFF 2
26695,Kacey Kasem
27125,Ben Gretch 3
27767,Rich Maletto (FantasyBosco)
28172,Coop 3
28528,Jennifer Smith
28530,Rookie Fever 1
28687,John Laub
28986,Michael Florio
29110,Bob Harris
29122,Rookie Fever 8
29276,Rookie Fever 4
29585,JJ Zachariason 4
29867,Denny Carter
29924,Dynasty Happy Hour
30239,Dynasty Tradecast Dan
30239,Dynasty Tradecast Nathan
31074,Liz Loza 2
32262,DaddysHomeFF
32391,Andy Holloway
33223,Kevin
33223,Sal
33356,Dynasty Hot Sauce Pod
33494,Heath Cummings
33767,Rich Hribar
34329,Lindsay Rhodes 2
34424,Bob Gilchrist
34424,Lindellions
34424,FF_Hep
34759,Jeff Bell
35145,Joey Wright
35299,TheFFGhost
35541,Peter Overzet
35713,Cooterdoodle
36906,Jeff Bell 1
37462,Matt Harmon
37484,Rookie Fever 2
38525,Jen Piacenti
38673,Adam Murfet
38956,Britt Flinn
39038,Jake Trowbridge
40200,Tod Burros (bestballNFL)
40564,Ryan McDowell 1
40931,James Roday Rodriguez
41094,Andy Behrens
41369,Justin Boone
42521,JJ Zachariason 1
43231,Bob Lung
43911,Jen Eakins
43986,Peter Overzet 2
44302,Jason Moore 2
44351,trashsandwiches 2
44615,Adam Levitan
44663,Cooterdoodle 4
44849,Dave Richard
44906,Kevin Tompkins 2
45002,Kendall Valenzuela
45632,John Daigle
45647,Coop
46185,Sam Lane (Stompy)
46241,Heath Cummings
46241,Rice Rice Baby
46361,Javier Manzanera
46419,Ben Gretch 2
46449,Mauricio Gutierrez 2
46479,Adam Aizer
47670,Herms
48272,Cooterdoodle
48890,Dynasty Junkies
48962,Felkrane
48962,Samantha Previte
49231,Barrett/Patrick
50240,Bosch
50485,Dave Kluge
50623,Kendall Valenzuela
50996,Rookie Fever 3
51032,Tera Roberts
51828,Joey Wright 2
51898,Liz Loza 1
52629,Peter Howard
52898,Matt Harmon 2
53227,Scott
53227,Shane
53227,Clay
53389,Matt Schauf
53613,Coop 2
53714,Kevin Tompkins
53935,JJ Zachariason 2
54125,John Paulsen
54368,Jim Coventry
54413,Ryan Hallam
55284,Michael Fabiano
55580,Bo McBrayer
55604,Mauricio Gutierrez
55609,Kate Magdziuk
55923,Bob Harris
56115,Dynasty Dummies Pod Zac
56115,Dynasty Dummies Pod JMic
56265,Ryan McDowell 2
57692,Travis May
58198,John Bauer
58434,Ryan McDowell 4
58996,Lindellions 1
59954,Dr. Kevin Murray
59974,Kate Magdziuk
60314,Josh Hermsmeyer
60750,JB Barry
60961,Bob Harris 3
61159,Tom Everett Scott 2
62330,Fantasy Mojo
62347,Jay Felicio
62409,Russ
62409,Rocky
62667,Kelly Singh
62871,Howard Bender
63421,Chris Allen
63985,Jason Moore 1
64203,TAGS BENEFIT (ANDREW)
64953,Drew Davenport
65082,Jay Felicio
65150,Justin Boone 2
67246,Cooterdoodle
67765,JJ Zachariason 5
68019,Lindellions 2
68104,Sigmund Bloom 1
68114,Denny Carter 2
69239,Mike Wright 1
69247,Chad Parsons
69420,Jamie Calandro
70181,Rookie Fever 9
70471,Dan Clasgens
70869,Bosch
71897,Bo McBrayer
72630,Joey Wright 3
73013,BonnieNFL
73020,Auto
73045,Sigmund Bloom 2
73914,James Brimacombe
73941,Mike Beers
74307,Heath Cummings
74307,Headless Horsemen
74320,Stephie Smalls
74783,Howard Bender
74873,Jake Anderson
74971,Jamey Eisenberg